ID,Date,Week,Baby,EarlyToBed,Drink,JL, EatTooMuch,washroom,Coding,LearnDaily,Eng,Efficiency,HZ,Score,Comments
91,2020-04-26,星期日,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,2020-01-01,星期三,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,2020-01-02,星期四,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
94,2020-01-03,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
95,2020-01-04,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
96,2020-01-05,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
97,2020-01-06,星期一,0,0,1,0,1,1,0,0,0,1,1,4.5,NULL
98,2020-01-07,星期二,0,1,1,1,1,1,0,0,0,0,1,5.5,NULL
99,2020-01-08,星期三,0,0,0.5,0,0.5,1,0,1,0,0,0,3,NULL
100,2020-01-09,星期四,0,0,0.5,0,NULL,0,0,0,0,0,0,0.5,NULL
101,2020-01-10,星期五,NULL,NULL,0.5,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL
102,2020-01-11,星期六,NULL,1,1,1,1,NULL,NULL,NULL,0,NULL,NULL,4,NULL
103,2020-01-12,星期日,NULL,1,1,0,0.5,NULL,NULL,NULL,0,NULL,NULL,2.5,NULL
104,2020-01-13,星期一,0.5,0,0,1,0,0,0,1,0,NULL,NULL,2.5,NULL
105,2020-01-14,星期二,0,0,0.5,0,0,NULL,0,0,0,NULL,NULL,0.5,NULL
106,2020-01-15,星期三,NULL,NULL,0.5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL
107,2020-01-16,星期四,0,0,0,0,1,0,0,0,0,0.5,NULL,1.5,NULL
108,2020-02-12,星期三,NULL,0,1,0,0.5,1,0,0,0,0,NULL,2.5,NULL
109,2020-02-13,星期四,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
110,2020-02-14,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
111,2020-02-15,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
112,2020-02-16,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
113,2020-02-17,星期一,0,0,0,1,1,1,0,0,0,1,1,4.5,NULL
114,2020-02-18,星期二,0,0,0,0,1,1,0,0,0,0.5,1,3,NULL
115,2020-02-19,星期三,0,1,0,1,1,1,0,0,0,0,1,4.5,NULL
116,2020-02-20,星期四,0,0,0,0,1,1,1,0,0,1,1,4.5,NULL
117,2020-02-21,星期五,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,1,NULL
118,2020-02-22,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
119,2020-02-23,星期日,NULL,0,1,0,0,1,0,0,0,NULL,1,2.5,NULL
120,2020-02-24,星期一,0,1,0,0,1,1,0,1,0,1,1,5.5,NULL
121,2020-02-25,星期二,0,1,0,0,1,0,1,0.5,0,NULL,NULL,3.5,NULL
122,2020-02-26,星期三,0,0,0,0,0,0,1,0.5,0,0,NULL,1.5,NULL
123,2020-02-27,星期四,NULL,NULL,0,0,NULL,NULL,1,NULL,NULL,0,NULL,1,NULL
124,2020-02-28,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,2020-02-29,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,2020-03-01,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,2020-03-02,星期一,0,0,1,1,0.5,1,0,0,0,1,1,5,NULL
128,2020-03-03,星期二,0,0,1,0,1,1,0.5,0,0,NULL,NULL,3.5,NULL
129,2020-03-04,星期三,0,0,0,0,1,1,1,0,0,0,1,3.5,NULL
130,2020-03-05,星期四,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,2020-03-06,星期五,0,0,0.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
